timestamp,uri,x(m),y(m),z(m)
581206,radio://0/80/2M/E7E7E7E701,1.9348385334014893,4.271633148193359,0.021120239049196243
581706,radio://0/80/2M/E7E7E7E701,1.9294178485870361,4.267776012420654,0.02099069207906723
582206,radio://0/80/2M/E7E7E7E701,1.931276798248291,4.268655776977539,0.020634185522794724
582706,radio://0/80/2M/E7E7E7E701,1.9323246479034424,4.2687458992004395,0.01963958889245987
583206,radio://0/80/2M/E7E7E7E701,1.9350193738937378,4.271172046661377,0.021948929876089096
583706,radio://0/80/2M/E7E7E7E701,0.0,0.0,0.0
584206,radio://0/80/2M/E7E7E7E701,0.0005813437164761126,-8.676117431605235e-05,0.021973691880702972
584706,radio://0/80/2M/E7E7E7E701,1.932404637336731,4.3630900382995605,0.02012452855706215
585206,radio://0/80/2M/E7E7E7E701,1.9262216091156006,4.258951663970947,0.021158039569854736
585706,radio://0/80/2M/E7E7E7E701,1.9230225086212158,4.245326995849609,0.021285468712449074
586206,radio://0/80/2M/E7E7E7E701,1.9278725385665894,4.235533714294434,0.02119487151503563
586706,radio://0/80/2M/E7E7E7E701,1.9504417181015015,4.25051212310791,0.01711457036435604
587206,radio://0/80/2M/E7E7E7E701,1.963308334350586,4.1903605461120605,0.0790463536977768
587706,radio://0/80/2M/E7E7E7E701,1.934207558631897,4.205402851104736,0.17069169878959656
588206,radio://0/80/2M/E7E7E7E701,1.939378261566162,4.227598190307617,0.32967835664749146
588706,radio://0/80/2M/E7E7E7E701,1.9742439985275269,4.216582298278809,0.4766741991043091
589206,radio://0/80/2M/E7E7E7E701,2.0266430377960205,4.162319660186768,0.6038852334022522
589706,radio://0/80/2M/E7E7E7E701,2.0187695026397705,4.166876792907715,0.7218320965766907
590206,radio://0/80/2M/E7E7E7E701,1.9982503652572632,4.233985424041748,0.7663908004760742
590706,radio://0/80/2M/E7E7E7E701,2.007113218307495,4.244243621826172,0.7725998163223267
591206,radio://0/80/2M/E7E7E7E701,1.989163875579834,4.260400772094727,0.8289995789527893
591706,radio://0/80/2M/E7E7E7E701,2.009458065032959,4.290852069854736,0.9103167653083801
592206,radio://0/80/2M/E7E7E7E701,2.0583372116088867,4.231295585632324,1.0003584623336792
592706,radio://0/80/2M/E7E7E7E701,2.015519857406616,4.224668502807617,1.079056978225708
593206,radio://0/80/2M/E7E7E7E701,1.94634211063385,4.238068103790283,1.1679656505584717
593706,radio://0/80/2M/E7E7E7E701,1.9711264371871948,4.285715103149414,1.251626968383789
594206,radio://0/80/2M/E7E7E7E701,2.0695879459381104,4.282468318939209,1.3312307596206665
594706,radio://0/80/2M/E7E7E7E701,2.0812599658966064,4.2860188484191895,1.4244753122329712
595206,radio://0/80/2M/E7E7E7E701,2.108790874481201,4.296727180480957,1.515954852104187
595706,radio://0/80/2M/E7E7E7E701,1.9854474067687988,4.278762340545654,1.5846914052963257
596206,radio://0/80/2M/E7E7E7E701,1.978615641593933,4.276005268096924,1.6704256534576416
596706,radio://0/80/2M/E7E7E7E701,2.0373544692993164,4.2189764976501465,1.7579056024551392
597206,radio://0/80/2M/E7E7E7E701,2.059506416320801,4.261123180389404,1.7826073169708252
597706,radio://0/80/2M/E7E7E7E701,2.05513334274292,4.2708210945129395,1.7608929872512817
598206,radio://0/80/2M/E7E7E7E701,2.0850746631622314,4.3159332275390625,1.7553229331970215
598706,radio://0/80/2M/E7E7E7E701,2.0667643547058105,4.310461044311523,1.7448837757110596
599206,radio://0/80/2M/E7E7E7E701,2.0848755836486816,4.317891597747803,1.7419867515563965
599706,radio://0/80/2M/E7E7E7E701,2.0942635536193848,4.335716724395752,1.736312985420227
600206,radio://0/80/2M/E7E7E7E701,2.098630428314209,4.265172958374023,1.7393344640731812
600706,radio://0/80/2M/E7E7E7E701,2.1114661693573,4.311192512512207,1.720755696296692
601206,radio://0/80/2M/E7E7E7E701,2.160382032394409,4.303582668304443,1.6601850986480713
601706,radio://0/80/2M/E7E7E7E701,2.184941291809082,4.36194372177124,1.563238501548767
602206,radio://0/80/2M/E7E7E7E701,2.1399967670440674,4.375333309173584,1.4741742610931396
602706,radio://0/80/2M/E7E7E7E701,2.134377956390381,4.321540832519531,1.359903335571289
603206,radio://0/80/2M/E7E7E7E701,2.1481516361236572,4.252688884735107,1.2937777042388916
603706,radio://0/80/2M/E7E7E7E701,2.0548906326293945,4.24314546585083,1.2190049886703491
604206,radio://0/80/2M/E7E7E7E701,2.1269209384918213,4.285624980926514,1.1179888248443604
604706,radio://0/80/2M/E7E7E7E701,2.197165012359619,4.346414089202881,1.0391403436660767
605206,radio://0/80/2M/E7E7E7E701,2.222984552383423,4.360764026641846,0.9375827312469482
605706,radio://0/80/2M/E7E7E7E701,2.1869161128997803,4.3426737785339355,0.8566152453422546
606206,radio://0/80/2M/E7E7E7E701,2.1817879676818848,4.298294544219971,0.7599321007728577
606706,radio://0/80/2M/E7E7E7E701,2.246084690093994,4.269838809967041,0.6675652265548706
607206,radio://0/80/2M/E7E7E7E701,2.277794599533081,4.279947757720947,0.6468693614006042
607706,radio://0/80/2M/E7E7E7E701,2.229609489440918,4.2368950843811035,0.6511494517326355
608206,radio://0/80/2M/E7E7E7E701,2.1663858890533447,4.211151599884033,0.5884947776794434
608706,radio://0/80/2M/E7E7E7E701,2.1546595096588135,4.222676753997803,0.47269123792648315
609206,radio://0/80/2M/E7E7E7E701,2.124964952468872,4.29254674911499,0.36502137780189514
609706,radio://0/80/2M/E7E7E7E701,2.1037371158599854,4.3095293045043945,0.2638058364391327
