timestamp,uri,x(m),y(m),z(m)
13257,radio://0/80/2M/E7E7E7E701,2.989098072052002,4.1707682609558105,0.01450344081968069
13757,radio://0/80/2M/E7E7E7E701,2.9902095794677734,4.175685882568359,0.014350874349474907
14257,radio://0/80/2M/E7E7E7E701,2.9900426864624023,4.178875923156738,0.015297374688088894
14757,radio://0/80/2M/E7E7E7E701,2.993698835372925,4.178524494171143,0.013630609028041363
15257,radio://0/80/2M/E7E7E7E701,2.9862747192382812,4.173912525177002,0.015289085917174816
15757,radio://0/80/2M/E7E7E7E701,0.0,0.0,0.0
16257,radio://0/80/2M/E7E7E7E701,-0.0016948585398495197,-0.00011395692854421213,0.013973556458950043
16757,radio://0/80/2M/E7E7E7E701,-0.0015975211281329393,-0.0010412383126094937,0.01511292438954115
17257,radio://0/80/2M/E7E7E7E701,3.215041160583496,4.1228227615356445,0.013735928572714329
17757,radio://0/80/2M/E7E7E7E701,3.0988574028015137,4.164056777954102,0.014398680999875069
18257,radio://0/80/2M/E7E7E7E701,3.0893938541412354,4.165650367736816,0.012935006991028786
18757,radio://0/80/2M/E7E7E7E701,2.996731996536255,4.1568522453308105,0.05583459883928299
19257,radio://0/80/2M/E7E7E7E701,3.120269298553467,4.162449836730957,0.09774525463581085
19757,radio://0/80/2M/E7E7E7E701,3.120440721511841,4.144896984100342,0.23009254038333893
20257,radio://0/80/2M/E7E7E7E701,3.067246913909912,4.119924545288086,0.361249178647995
20757,radio://0/80/2M/E7E7E7E701,3.0081098079681396,4.118906497955322,0.4868439733982086
21257,radio://0/80/2M/E7E7E7E701,2.976614236831665,4.150211811065674,0.6188786625862122
21757,radio://0/80/2M/E7E7E7E701,3.003345489501953,4.186431884765625,0.7221688032150269
22257,radio://0/80/2M/E7E7E7E701,2.9841907024383545,4.195278167724609,0.7611830830574036
22757,radio://0/80/2M/E7E7E7E701,2.9524948596954346,4.174210071563721,0.7647634744644165
23257,radio://0/80/2M/E7E7E7E701,2.9210216999053955,4.166215896606445,0.8343116044998169
23757,radio://0/80/2M/E7E7E7E701,2.903278112411499,4.2025465965271,0.9122853875160217
24257,radio://0/80/2M/E7E7E7E701,2.8572723865509033,4.163033485412598,0.9905892014503479
24757,radio://0/80/2M/E7E7E7E701,2.8338212966918945,4.1736016273498535,1.0834013223648071
25257,radio://0/80/2M/E7E7E7E701,2.854173421859741,4.175488471984863,1.1648296117782593
25757,radio://0/80/2M/E7E7E7E701,2.896873712539673,4.220530986785889,1.2539747953414917
26257,radio://0/80/2M/E7E7E7E701,2.9720706939697266,4.316697597503662,1.330132007598877
26757,radio://0/80/2M/E7E7E7E701,2.9668731689453125,4.277803421020508,1.4198881387710571
27257,radio://0/80/2M/E7E7E7E701,2.985715389251709,4.270847320556641,1.5014984607696533
27757,radio://0/80/2M/E7E7E7E701,3.0091519355773926,4.169790267944336,1.5843861103057861
28257,radio://0/80/2M/E7E7E7E701,2.932732582092285,4.122185230255127,1.6677006483078003
28757,radio://0/80/2M/E7E7E7E701,2.938965082168579,4.171925067901611,1.7534552812576294
29257,radio://0/80/2M/E7E7E7E701,2.9441781044006348,4.210447311401367,1.7705051898956299
29757,radio://0/80/2M/E7E7E7E701,2.9690840244293213,4.274026393890381,1.767201542854309
30257,radio://0/80/2M/E7E7E7E701,2.9573774337768555,4.289032459259033,1.7568005323410034
30757,radio://0/80/2M/E7E7E7E701,2.9086952209472656,4.291419982910156,1.7491786479949951
31257,radio://0/80/2M/E7E7E7E701,2.909541130065918,4.266658306121826,1.7486851215362549
31757,radio://0/80/2M/E7E7E7E701,2.8688528537750244,4.264786720275879,1.7447614669799805
32257,radio://0/80/2M/E7E7E7E701,2.8646230697631836,4.245828628540039,1.7307844161987305
32757,radio://0/80/2M/E7E7E7E701,2.879723310470581,4.24962043762207,1.7230861186981201
33257,radio://0/80/2M/E7E7E7E701,2.931626319885254,4.27649450302124,1.6543705463409424
33757,radio://0/80/2M/E7E7E7E701,2.8757405281066895,4.301299571990967,1.5802745819091797
34257,radio://0/80/2M/E7E7E7E701,2.8309881687164307,4.213049411773682,1.4757899045944214
34757,radio://0/80/2M/E7E7E7E701,2.9152159690856934,4.240665435791016,1.379780650138855
35257,radio://0/80/2M/E7E7E7E701,2.9212920665740967,4.266480922698975,1.2952834367752075
35757,radio://0/80/2M/E7E7E7E701,2.8285467624664307,4.244028568267822,1.2048879861831665
36257,radio://0/80/2M/E7E7E7E701,2.7604641914367676,4.247373104095459,1.114288091659546
36757,radio://0/80/2M/E7E7E7E701,2.7725002765655518,4.2594780921936035,1.0202308893203735
37257,radio://0/80/2M/E7E7E7E701,2.772162437438965,4.279080390930176,0.9305261373519897
37757,radio://0/80/2M/E7E7E7E701,2.759967088699341,4.238273620605469,0.8408702611923218
38257,radio://0/80/2M/E7E7E7E701,2.780855178833008,4.216386318206787,0.7613626718521118
38757,radio://0/80/2M/E7E7E7E701,2.7876806259155273,4.240486145019531,0.6760002970695496
39257,radio://0/80/2M/E7E7E7E701,2.742128849029541,4.246548652648926,0.6465632915496826
39757,radio://0/80/2M/E7E7E7E701,2.7434487342834473,4.245706558227539,0.6496741771697998
40257,radio://0/80/2M/E7E7E7E701,2.716113567352295,4.25927209854126,0.563180685043335
40757,radio://0/80/2M/E7E7E7E701,2.683950662612915,4.260195255279541,0.4739844501018524
41257,radio://0/80/2M/E7E7E7E701,2.6638872623443604,4.264030456542969,0.37938567996025085
41757,radio://0/80/2M/E7E7E7E701,2.6703779697418213,4.230849266052246,0.2689412534236908
