timestamp,uri,x(m),y(m),z(m)
11524,radio://0/80/2M/E7E7E7E701,1.9726917743682861,1.5777465105056763,0.007033180445432663
12024,radio://0/80/2M/E7E7E7E701,1.9700872898101807,1.5763615369796753,0.00916119385510683
12524,radio://0/80/2M/E7E7E7E701,1.9727500677108765,1.5764840841293335,0.0073325722478330135
13024,radio://0/80/2M/E7E7E7E701,1.9761079549789429,1.5800330638885498,0.007073311135172844
13524,radio://0/80/2M/E7E7E7E701,1.9763565063476562,1.5799922943115234,0.006812523119151592
14024,radio://0/80/2M/E7E7E7E701,0.0,0.0,0.009999937377870083
14524,radio://0/80/2M/E7E7E7E701,1.9821631908416748,1.705359935760498,0.0078025097027421
15024,radio://0/80/2M/E7E7E7E701,1.9920216798782349,1.6152559518814087,0.008974611759185791
15524,radio://0/80/2M/E7E7E7E701,1.9968676567077637,1.598180890083313,0.0063425758853554726
16024,radio://0/80/2M/E7E7E7E701,1.997452974319458,1.6082192659378052,0.0071838065050542355
16524,radio://0/80/2M/E7E7E7E701,2.0045108795166016,1.5934730768203735,0.013173259794712067
17024,radio://0/80/2M/E7E7E7E701,1.994069218635559,1.5695478916168213,0.010011443868279457
17524,radio://0/80/2M/E7E7E7E701,1.9807955026626587,1.5607349872589111,0.03462535887956619
18024,radio://0/80/2M/E7E7E7E701,2.0380260944366455,1.5620486736297607,0.09586618095636368
18524,radio://0/80/2M/E7E7E7E701,1.8626102209091187,1.5998769998550415,0.21885792911052704
19024,radio://0/80/2M/E7E7E7E701,1.9930812120437622,1.5687752962112427,0.40930718183517456
19524,radio://0/80/2M/E7E7E7E701,2.1354305744171143,1.4650565385818481,0.5581909418106079
20024,radio://0/80/2M/E7E7E7E701,2.1896474361419678,1.400294303894043,0.7263144254684448
20524,radio://0/80/2M/E7E7E7E701,2.2165558338165283,1.3907279968261719,0.7964630126953125
21024,radio://0/80/2M/E7E7E7E701,2.2357192039489746,1.395006537437439,0.8073692917823792
21524,radio://0/80/2M/E7E7E7E701,2.209533214569092,1.411686658859253,0.8582976460456848
22024,radio://0/80/2M/E7E7E7E701,2.1945385932922363,1.4268019199371338,0.9427013397216797
22524,radio://0/80/2M/E7E7E7E701,2.2060630321502686,1.4904673099517822,1.0267103910446167
23024,radio://0/80/2M/E7E7E7E701,2.1699635982513428,1.4599082469940186,1.110878825187683
23524,radio://0/80/2M/E7E7E7E701,2.1598708629608154,1.4350775480270386,1.1938493251800537
24024,radio://0/80/2M/E7E7E7E701,2.16635799407959,1.3902556896209717,1.2823572158813477
24524,radio://0/80/2M/E7E7E7E701,2.2556402683258057,1.3482381105422974,1.3628807067871094
25024,radio://0/80/2M/E7E7E7E701,2.1861062049865723,1.3149632215499878,1.4235271215438843
25524,radio://0/80/2M/E7E7E7E701,2.182037353515625,1.266680121421814,1.5474646091461182
26024,radio://0/80/2M/E7E7E7E701,2.2781856060028076,1.2095293998718262,1.600640892982483
26524,radio://0/80/2M/E7E7E7E701,2.2587053775787354,1.1745764017105103,1.6437968015670776
27024,radio://0/80/2M/E7E7E7E701,2.2817375659942627,1.2124966382980347,1.7819544076919556
27524,radio://0/80/2M/E7E7E7E701,2.266195297241211,1.272822380065918,1.7873700857162476
28024,radio://0/80/2M/E7E7E7E701,2.287511110305786,1.2238599061965942,1.807591199874878
28524,radio://0/80/2M/E7E7E7E701,2.3202412128448486,1.1895204782485962,1.7623342275619507
29024,radio://0/80/2M/E7E7E7E701,2.2267396450042725,1.2448115348815918,1.7335442304611206
29524,radio://0/80/2M/E7E7E7E701,2.248260021209717,1.2579556703567505,1.773210048675537
30024,radio://0/80/2M/E7E7E7E701,2.445812463760376,1.0850991010665894,1.779074788093567
30524,radio://0/80/2M/E7E7E7E701,2.4612653255462646,1.0748642683029175,1.7003237009048462
31024,radio://0/80/2M/E7E7E7E701,2.351829767227173,1.17173433303833,1.7254903316497803
31524,radio://0/80/2M/E7E7E7E701,2.285184383392334,1.2874624729156494,1.7036515474319458
32024,radio://0/80/2M/E7E7E7E701,2.401493549346924,1.159450888633728,1.6168266534805298
32524,radio://0/80/2M/E7E7E7E701,2.400876522064209,1.0976728200912476,1.416581630706787
33024,radio://0/80/2M/E7E7E7E701,2.334890842437744,1.094193935394287,1.3771628141403198
33524,radio://0/80/2M/E7E7E7E701,2.2646937370300293,1.1948298215866089,1.2885020971298218
34024,radio://0/80/2M/E7E7E7E701,2.2455875873565674,1.2289727926254272,1.2191619873046875
34524,radio://0/80/2M/E7E7E7E701,2.247406482696533,1.2063279151916504,1.1087417602539062
35024,radio://0/80/2M/E7E7E7E701,2.242377996444702,1.1919387578964233,1.0123687982559204
35524,radio://0/80/2M/E7E7E7E701,2.2563230991363525,1.189784049987793,0.9272463321685791
36024,radio://0/80/2M/E7E7E7E701,2.2221498489379883,1.1623237133026123,0.8473691940307617
36524,radio://0/80/2M/E7E7E7E701,2.1579160690307617,1.1362736225128174,0.7655068039894104
37024,radio://0/80/2M/E7E7E7E701,2.1246745586395264,1.146872639656067,0.6686052680015564
37524,radio://0/80/2M/E7E7E7E701,2.07028865814209,1.2035737037658691,0.6442041397094727
38024,radio://0/80/2M/E7E7E7E701,2.0602245330810547,1.2011561393737793,0.6586411595344543
38524,radio://0/80/2M/E7E7E7E701,2.0318522453308105,1.1829113960266113,0.5926392674446106
39024,radio://0/80/2M/E7E7E7E701,2.033168315887451,1.1762115955352783,0.4822739064693451
39524,radio://0/80/2M/E7E7E7E701,2.004814386367798,1.2106447219848633,0.3718763291835785
40024,radio://0/80/2M/E7E7E7E701,1.9749479293823242,1.219325304031372,0.25044721364974976
40524,radio://0/80/2M/E7E7E7E701,1.979681134223938,1.234553575515747,0.14585907757282257
41024,radio://0/80/2M/E7E7E7E701,2.0098931789398193,1.2534877061843872,0.0604521781206131
